Hexagons, 1 sample, naive	Hexagons, 16 samples, naive	Dragon, 1 sample, naive	Dragon, 16 samples, naive			Hexagons, 1 sample, optimized	Hexagons, 16 samples, optimized	Dragon, 1 sample, optimized	Dragon, 16 samples, optimized
1507	18120	11722	121082			350	4408	4585	14939
1468	18247	11755	121011			351	4424	4628	14965
1488	18483	11758	120332			359	4377	4755	14931
1569	20081	11651	120592			409	4320	4632	14964
1613	17773	11562	120449			370	4372	4681	14904
1451	17519	11639	120642			346	4379	4872	14783
1393	18087	11683	120733			323	4375	4649	15289
1422	18262	11413	120214			414	4342	4964	15233
1557	18322	11596	120678			316	4440	4922	15243
1311	18057	11625	120043			331	4526	4805	16396
1527	18492	11686	121138			366	4332	4623	14948
1477	17703	11426	120718			335	4434	4711	15047
1421	18305	11739	120374			408	4432	4619	15092
1483	17900	11705	120417			430	4548	4624	15044
1387	18866	11669	120802			490	5027	4932	15077
1417	17988	11549	122175			333	4372	4732	14808
1560	18140	11599	122058			314	4391	4619	15149
1490	17972	11475	120351			370	4438	4810	15265
1486	18490	11674	121078			387	4453	4740	14912
1468	18131	11642	121688			264	4486	4841	14929
									
									
									
1.47475	18.2469	11.6284	120.82875			0.3633	4.4438	4.7372	15.0959
